TimeStamp,VarDate,Temperature,RelativeHumidity,COtwo,SensibleHeat
0:00,7-29-2015,20.7,64.8,0,0.0
0:05,7-29-2015,20.5,65.1,0,0.0
0:10,7-29-2015,20.7,65.3,0,0.0
0:15,7-29-2015,20.1,65.3,0,0.0
0:20,7-29-2015,19.9,65.7,0,0.0
0:25,7-29-2015,19.8,65.1,0,0.0
0:30,7-29-2015,19.6,65.0,0,0.0
0:35,7-29-2015,19.5,64.9,0,0.0
0:40,7-29-2015,19.3,64.8,0,0.0
0:45,7-29-2015,19.1,64.7,0,0.0
0:50,7-29-2015,19.0,64.6,0,0.0
0:55,7-29-2015,18.9,64.3,0,0.0
1:00,7-29-2015,18.8,64.1,0,0.0
1:05,7-29-2015,18.7,64.0,0,0.0
1:10,7-29-2015,18.6,63.9,0,0.0
1:15,7-29-2015,18.5,63.8,0,0.0
1:20,7-29-2015,18.9,63.7,0,0.0
1:25,7-29-2015,18.3,63.7,0,0.0
1:30,7-29-2015,18.3,63.7,0,0.0
1:35,7-29-2015,18.7,63.5,0,0.0
1:40,7-29-2015,18.1,63.5,0,0.0
1:45,7-29-2015,18.0,63.7,0,0.0
1:50,7-29-2015,17.9,63.1,0,0.0
1:55,7-29-2015,17.9,62.8,0,0.0
2:00,7-29-2015,17.8,62.7,0,0.0
2:05,7-29-2015,17.8,62.5,0,0.0
2:10,7-29-2015,17.8,62.7,0,0.0
2:15,7-29-2015,17.7,61.9,0,0.0
2:20,7-29-2015,17.7,61.7,0,0.0
2:25,7-29-2015,17.7,61.1,0,0.0
2:30,7-29-2015,17.6,60.1,0,0.0
2:35,7-29-2015,17.6,60.1,0,0.0
2:40,7-29-2015,17.6,60.1,0,0.0
2:45,7-29-2015,17.5,60.1,0,0.0
2:50,7-29-2015,17.5,60.1,0,0.0
2:55,7-29-2015,17.6,60.9,0,0.0
3:00,7-29-2015,17.7,59.8,0,0.0
3:05,7-29-2015,17.7,59.3,0,0.0
3:10,7-29-2015,17.6,59.8,0,0.0
3:15,7-29-2015,17.5,59.7,0,0.0
3:20,7-29-2015,17.9,58.3,0,0.0
3:25,7-29-2015,17.3,58.3,0,0.0
3:30,7-29-2015,17.7,58.9,0,0.0
3:35,7-29-2015,17.1,58.7,0,0.0
3:40,7-29-2015,17.0,46.1,0,0.0
3:45,7-29-2015,16.9,42.3,0,0.0
3:50,7-29-2015,16.8,42.8,0,0.0
3:55,7-29-2015,16.8,42.9,0,0.0
4:00,7-29-2015,20.8,42.7,0,0.0
4:05,7-29-2015,21.9,42.9,0,0.0
4:10,7-29-2015,21.9,41.9,0,0.0
4:15,7-29-2015,21.9,41.8,0,0.0
4:20,7-29-2015,21.9,41.8,0,0.0
4:25,7-29-2015,21.9,41.8,0,0.0
4:30,7-29-2015,21.9,41.8,0,0.0
4:35,7-29-2015,21.9,41.8,0,0.0
4:40,7-29-2015,22.0,41.7,0,0.0
4:45,7-29-2015,22.0,41.7,0,0.0
4:50,7-29-2015,22.0,41.8,0,0.0
4:55,7-29-2015,22.0,42.7,0,0.0
5:00,7-29-2015,22.0,42.6,0,0.0
5:05,7-29-2015,22.0,42.9,0,0.0
5:10,7-29-2015,22.0,43.8,0,0.0
5:15,7-29-2015,22.0,42.9,0,0.0
5:20,7-29-2015,22.0,43.6,0,0.0
5:25,7-29-2015,21.9,43.6,0,0.0
5:30,7-29-2015,21.9,44.9,0,0.0
5:35,7-29-2015,22.0,44.8,0,0.0
5:40,7-29-2015,22.0,44.7,0,0.0
5:45,7-29-2015,22.0,45.0,0,0.0
5:50,7-29-2015,22.0,45.0,0,0.0
5:55,7-29-2015,21.9,45.0,0,0.0
6:00,7-29-2015,22.0,45.0,0,334.0
6:05,7-29-2015,22.0,45.3,0,334.0
6:10,7-29-2015,22.0,45.7,0,334.0
6:15,7-29-2015,22.0,45.9,0,334.0
6:20,7-29-2015,22.0,46.0,0,334.0
6:25,7-29-2015,22.0,46.3,0,334.0
6:30,7-29-2015,22.0,46.1,0,334.0
6:35,7-29-2015,22.0,46.1,0,334.0
6:40,7-29-2015,22.0,46.9,0,334.0
6:45,7-29-2015,22.0,47.0,0,334.0
6:50,7-29-2015,22.0,47.8,0,334.0
6:55,7-29-2015,22.0,47.3,0,334.0
7:00,7-29-2015,22.0,48.9,0,668.0
7:05,7-29-2015,22.0,49.1,0,668.0
7:10,7-29-2015,22.0,49.5,0,668.0
7:15,7-29-2015,22.0,49.7,0,668.0
7:20,7-29-2015,22.0,49.7,0,668.0
7:25,7-29-2015,22.0,50.1,0,668.0
7:30,7-29-2015,22.0,51.0,0,668.0
7:35,7-29-2015,22.1,52.0,0,668.0
7:40,7-29-2015,22.3,53.0,0,668.0
7:45,7-29-2015,22.7,54.1,0,668.0
7:50,7-29-2015,23.0,55.1,0,668.0
7:55,7-29-2015,23.3,56.1,0,668.0
8:00,7-29-2015,23.5,56.1,0,1336.1
8:05,7-29-2015,23.7,56.7,0,1336.1
8:10,7-29-2015,23.7,56.9,0,1336.1
8:15,7-29-2015,23.7,57.0,0,1336.1
8:20,7-29-2015,23.7,57.7,0,1336.1
8:25,7-29-2015,23.8,57.3,0,1336.1
8:30,7-29-2015,23.8,57.3,0,1336.1
8:35,7-29-2015,23.8,57.9,0,1333.9
8:40,7-29-2015,23.8,57.7,0,1322.7
8:45,7-29-2015,23.8,57.3,0,1304.7
8:50,7-29-2015,23.8,57.7,0,1279.1
8:55,7-29-2015,23.9,57.3,0,1255.1
9:00,7-29-2015,24.0,57.1,0,1230.5
9:05,7-29-2015,24.3,57.3,0,1219.3
9:10,7-29-2015,23.6,57.7,0,1210.9
9:15,7-29-2015,25.3,58.9,0,1207.8
9:20,7-29-2015,25.9,58.3,0,1205.9
9:25,7-29-2015,26.5,58.9,0,1204.8
9:30,7-29-2015,26.7,58.9,0,1202.7
9:35,7-29-2015,27.3,59.1,0,1201.8
9:40,7-29-2015,27.5,59.5,0,1199.5
9:45,7-29-2015,27.7,59.6,0,1198.7
9:50,7-29-2015,28.3,59.9,0,1197.9
9:55,7-29-2015,28.7,60.0,0,1196.8
10:00,7-29-2015,29.0,60.0,0,1195.6
10:05,7-29-2015,29.7,60.1,0,1181.9
10:10,7-29-2015,29.3,60.7,0,1152.0
10:15,7-29-2015,29.9,60.3,0,1118.3
10:20,7-29-2015,29.6,60.9,0,1062.7
10:25,7-29-2015,29.7,60.9,0,1014.3
10:30,7-29-2015,29.8,60.7,0,961.7
10:35,7-29-2015,29.9,60.5,0,945.1
10:40,7-29-2015,30.0,60.7,0,894.6
10:45,7-29-2015,30.7,61.8,0,869.1
10:50,7-29-2015,30.3,61.1,0,851.7
10:55,7-29-2015,30.9,61.7,0,800.0
11:00,7-29-2015,30.5,61.7,0,569.3
11:05,7-29-2015,30.6,61.7,0,552.3
11:10,7-29-2015,30.7,61.7,0,543.6
11:15,7-29-2015,30.8,61.7,0,534.5
11:20,7-29-2015,30.9,61.7,0,525.1
11:25,7-29-2015,30.9,61.7,0,516.3
11:30,7-29-2015,31.0,61.7,0,506.7
11:35,7-29-2015,31.1,61.7,0,497.6
11:40,7-29-2015,31.7,61.3,0,488.8
11:45,7-29-2015,31.3,61.3,0,479.7
11:50,7-29-2015,31.3,61.9,0,470.7
11:55,7-29-2015,31.9,62.0,0,461.9
12:00,7-29-2015,31.5,62.0,0,451.7
12:05,7-29-2015,31.6,62.0,0,443.9
12:10,7-29-2015,31.7,62.0,0,436.3
12:15,7-29-2015,31.8,62.0,0,429.1
12:20,7-29-2015,31.9,62.7,0,422.9
12:25,7-29-2015,32.0,62.8,0,416.8
12:30,7-29-2015,32.1,62.9,0,409.3
12:35,7-29-2015,32.1,63.0,0,403.7
12:40,7-29-2015,32.1,63.7,0,396.0
12:45,7-29-2015,32.7,63.8,0,390.0
12:50,7-29-2015,32.3,63.0,0,383.9
12:55,7-29-2015,32.9,63.9,0,376.5
13:00,7-29-2015,32.5,63.5,0,493.9
13:05,7-29-2015,32.5,63.6,0,483.9
13:10,7-29-2015,32.5,63.7,0,472.7
13:15,7-29-2015,32.9,63.7,0,462.9
13:20,7-29-2015,32.3,63.8,0,452.3
13:25,7-29-2015,32.7,63.9,0,443.9
13:30,7-29-2015,32.1,63.7,0,424.8
13:35,7-29-2015,32.0,63.9,0,415.5
13:40,7-29-2015,31.8,63.1,0,406.0
13:45,7-29-2015,31.5,63.7,0,396.7
13:50,7-29-2015,31.3,63.1,0,387.5
13:55,7-29-2015,31.0,63.5,0,377.9
14:00,7-29-2015,30.8,63.5,0,375.6
14:05,7-29-2015,30.6,63.5,0,380.3
14:10,7-29-2015,30.5,63.1,0,389.6
14:15,7-29-2015,30.3,63.9,0,400.6
14:20,7-29-2015,30.7,64.0,0,411.8
14:25,7-29-2015,30.0,63.1,0,423.1
14:30,7-29-2015,29.9,63.7,0,435,6
14:35,7-29-2015,29.7,63.7,0,458.8
14:40,7-29-2015,29.6,63.7,0,485.1
14:45,7-29-2015,29.9,63.7,0,511.5
14:50,7-29-2015,29.7,63.9,0,534.7
14:55,7-29-2015,29.7,63.9,0,557.9
15:00,7-29-2015,28.9,63.9,0,593.1
15:05,7-29-2015,28.7,63.9,0,608.9
15:10,7-29-2015,28.5,63.9,0,623.3
15:15,7-29-2015,28.3,64.9,0,638.5
15:20,7-29-2015,28.3,64.5,0,654.1
15:25,7-29-2015,28.0,65.0,0,670.8
15:30,7-29-2015,27.9,65.0,0,686.1
15:35,7-29-2015,27.7,65.9,0,702.1
15:40,7-29-2015,27.6,65.0,0,718.0
15:45,7-29-2015,27.9,65.9,0,734.1
15:50,7-29-2015,27.3,64.9,0,375.0
15:55,7-29-2015,27.7,64.1,0,385.6
16:00,7-29-2015,27.0,63.9,0,395.9
16:05,7-29-2015,27.9,63.9,0,403.1
16:10,7-29-2015,27.8,63.5,0,411.6
16:15,7-29-2015,27.9,63.6,0,418.9
16:20,7-29-2015,28.0,63.6,0,425.9
16:25,7-29-2015,27.9,63.6,0,431.9
16:30,7-29-2015,27.8,63.6,0,438.9
16:35,7-29-2015,27.8,63.6,0,445.5
16:40,7-29-2015,27.7,63.6,0,451.7
16:45,7-29-2015,27.6,63.6,0,458.7
16:50,7-29-2015,27.5,64.5,0,232.9
16:55,7-29-2015,27.5,64.5,0,221.6
17:00,7-29-2015,27.9,64.5,0,214.7
17:05,7-29-2015,27.1,64.5,0,211.3
17:10,7-29-2015,26.7,64.5,0,210.9
17:15,7-29-2015,26.9,64.5,0,213.1
17:20,7-29-2015,26.3,64.5,0,215.7
17:25,7-29-2015,26.3,64.5,0,217.5
17:30,7-29-2015,26.7,64.5,0,218.8
17:35,7-29-2015,26.7,64.5,0,220.0
17:40,7-29-2015,26.7,64.5,0,222.9
17:45,7-29-2015,26.1,64.5,0,220.0
17:50,7-29-2015,26.1,63.0,0,210.9
17:55,7-29-2015,26.1,62.1,0,220.7
18:00,7-29-2015,26.0,62.5,0,0.0
18:05,7-29-2015,26.0,62.3,0,0.0
18:10,7-29-2015,25.7,62.9,0,0.0
18:15,7-29-2015,25.3,62.7,0,0.0
18:20,7-29-2015,25.0,62.8,0,0.0
18:25,7-29-2015,24.8,62.9,0,0.0
18:30,7-29-2015,24.7,62.7,0,0.0
18:35,7-29-2015,24.5,62.5,0,0.0
18:40,7-29-2015,24.9,62.9,0,0.0
18:45,7-29-2015,24.7,62.3,0,0.0
18:50,7-29-2015,24.1,62.8,0,0.0
18:55,7-29-2015,24.0,62.0,0,0.0
19:00,7-29-2015,23.8,62.8,0,0.0
19:05,7-29-2015,23.7,63.0,0,0.0
19:10,7-29-2015,23.5,63.0,0,0.0
19:15,7-29-2015,23.9,63.0,0,0.0
19:20,7-29-2015,23.9,63.0,0,0.0
19:25,7-29-2015,23.3,63.0,0,0.0
19:30,7-29-2015,23.7,63.0,0,0.0
19:35,7-29-2015,23.1,63.1,0,0.0
19:40,7-29-2015,23.0,63.9,0,0.0
19:45,7-29-2015,23.0,63.9,0,0.0
19:50,7-29-2015,22.9,63.5,0,0.0
19:55,7-29-2015,22.8,63.8,0,0.0
20:00,7-29-2015,22.7,63.8,0,0.0
20:05,7-29-2015,22.7,63.8,0,0.0
20:10,7-29-2015,22.1,63.0,0,0.0
20:15,7-29-2015,21.5,63.8,0,0.0
20:20,7-29-2015,21.9,64.1,0,0.0
20:25,7-29-2015,21.3,64.7,0,0.0
20:30,7-29-2015,21.1,64.3,0,0.0
20:35,7-29-2015,20.9,64.9,0,0.0
20:40,7-29-2015,20.8,64.5,0,0.0
20:45,7-29-2015,20.7,64.6,0,0.0
20:50,7-29-2015,20.7,64.8,0,0.0
20:55,7-29-2015,20.6,64.8,0,0.0
21:00,7-29-2015,20.5,64.8,0,0.0
21:05,7-29-2015,20.9,64.8,0,0.0
21:10,7-29-2015,20.3,64.8,0,0.0
21:15,7-29-2015,20.3,64.8,0,0.0
21:20,7-29-2015,20.3,64.8,0,0.0
21:25,7-29-2015,20.3,64.8,0,0.0
21:30,7-29-2015,20.3,65.1,0,0.0
21:35,7-29-2015,20.9,65.8,0,0.0
21:40,7-29-2015,20.9,65.7,0,0.0
21:45,7-29-2015,20.5,66.1,0,0.0
21:50,7-29-2015,20.5,65.1,0,0.0
21:55,7-29-2015,20.7,65.7,0,0.0
22:00,7-29-2015,20.5,65.3,0,0.0
22:05,7-29-2015,20.9,65.3,0,0.0
22:10,7-29-2015,20.3,65.9,0,0.0
22:15,7-29-2015,20.3,65.1,0,0.0
22:20,7-29-2015,20.3,65.9,0,0.0
22:25,7-29-2015,20.3,64.9,0,0.0
22:30,7-29-2015,20.3,65.1,0,0.0
22:35,7-29-2015,20.9,64.9,0,0.0
22:40,7-29-2015,20.9,64.8,0,0.0
22:45,7-29-2015,20.5,64.7,0,0.0
22:50,7-29-2015,20.5,64.6,0,0.0
22:55,7-29-2015,20.7,64.9,0,0.0
23:00,7-29-2015,20.5,64.7,0,0.0
23:05,7-29-2015,20.9,63.9,0,0.0
23:10,7-29-2015,20.3,64.1,0,0.0
23:15,7-29-2015,20.3,64.5,0,0.0
23:20,7-29-2015,20.3,65.0,0,0.0
23:25,7-29-2015,20.3,65.5,0,0.0
23:30,7-29-2015,20.3,64.9,0,0.0
23:35,7-29-2015,20.9,64.1,0,0.0
23:40,7-29-2015,20.9,64.9,0,0.0
23:45,7-29-2015,20.5,64.9,0,0.0
23:50,7-29-2015,20.5,64.3,0,0.0
23:55,7-29-2015,20.7,64.5,0,0.0
