0.0TimeStamp,Date,Temperature,Relative-Humidity,C0_2,Sensible-Heat
00:00.00,7-29-2015,20.7,64.8,0,0.0
00:05.00,7-29-2015,20.5,65.1,0,0.0
00:10.00,7-29-2015,20.2,65.3,0,0.0
00:15.00,7-29-2015,20.1,65.3,0,0.0
00:20.00,7-29-2015,19.9,65.2,0,0.0
00:25.00,7-29-2015,19.8,65.1,0,0.0
00:30.00,7-29-2015,19.6,65.0,0,0.0
00:35.00,7-29-2015,19.5,64.9,0,0.0
00:40.00,7-29-2015,19.3,64.8,0,0.0
00:45.00,7-29-2015,19.1,64.7,0,0.0
00:50.00,7-29-2015,19.0,64.6,0,0.0
00:55.00,7-29-2015,18.9,64.3,0,0.0
01:00.00,7-29-2015,18.8,64.1,0,0.0
01:05.00,7-29-2015,18.7,64.0,0,0.0
01:10.00,7-29-2015,18.6,63.9,0,0.0
01:15.00,7-29-2015,18.5,63.8,0,0.0
01:20.00,7-29-2015,18.4,63.7,0,0.0
01:25.00,7-29-2015,18.3,63.7,0,0.0
01:30.00,7-29-2015,18.3,63.7,0,0.0
01:35.00,7-29-2015,18.2,63.5,0,0.0
01:40.00,7-29-2015,18.1,63.5,0,0.0
01:45.00,7-29-2015,18.0,63.7,0,0.0
01:50.00,7-29-2015,17.9,63.1,0,0.0
01:55.00,7-29-2015,17.9,62.8,0,0.0
02:00.00,7-29-2015,17.8,62.7,0,0.0
02:05.00,7-29-2015,17.8,62.5,0,0.0
02:10.00,7-29-2015,17.8,62.2,0,0.0
02:15.00,7-29-2015,17.7,61.9,0,0.0
02:20.00,7-29-2015,17.7,61.7,0,0.0
02:25.00,7-29-2015,17.7,61.1,0,0.0
02:30.00,7-29-2015,17.6,60.1,0,0.0
02:35.00,7-29-2015,17.6,60.1,0,0.0
02:40.00,7-29-2015,17.6,60.1,0,0.0
02:45.00,7-29-2015,17.5,60.1,0,0.0
02:50.00,7-29-2015,17.5,60.1,0,0.0
02:55.00,7-29-2015,17.6,60.9,0,0.0
03:00.00,7-29-2015,17.7,59.8,0,0.0
03:05.00,7-29-2015,17.7,59.3,0,0.0
03:10.00,7-29-2015,17.6,59.8,0,0.0
03:15.00,7-29-2015,17.5,59.2,0,0.0
03:20.00,7-29-2015,17.4,58.3,0,0.0
03:25.00,7-29-2015,17.3,58.3,0,0.0
03:30.00,7-29-2015,17.2,58.9,0,0.0
03:35.00,7-29-2015,17.1,58.2,0,0.0
03:40.00,7-29-2015,17.0,46.1,0,0.0
03:45.00,7-29-2015,16.9,42.3,0,0.0
03:50.00,7-29-2015,16.8,42.8,0,0.0
03:55.00,7-29-2015,16.8,42.9,0,0.0
04:00.00,7-29-2015,20.8,42.7,0,0.0
04:05.00,7-29-2015,21.9,42.4,0,0.0
04:10.00,7-29-2015,21.9,41.9,0,0.0
04:15.00,7-29-2015,21.9,41.8,0,0.0
04:20.00,7-29-2015,21.9,41.8,0,0.0
04:25.00,7-29-2015,21.9,41.8,0,0.0
04:30.00,7-29-2015,21.9,41.8,0,0.0
04:35.00,7-29-2015,21.9,41.8,0,0.0
04:40.00,7-29-2015,22.0,41.7,0,0.0
04:45.00,7-29-2015,22.0,41.7,0,0.0
04:50.00,7-29-2015,22.0,41.8,0,0.0
04:55.00,7-29-2015,22.0,42.7,0,0.0
05:00.00,7-29-2015,22.0,42.6,0,0.0
05:05.00,7-29-2015,22.0,42.9,0,0.0
05:10.00,7-29-2015,22.0,43.8,0,0.0
05:15.00,7-29-2015,22.0,42.9,0,0.0
05:20.00,7-29-2015,22.0,43.6,0,0.0
05:25.00,7-29-2015,21.9,43.6,0,0.0
05:30.00,7-29-2015,21.9,44.9,0,0.0
05:35.00,7-29-2015,22.0,44.8,0,0.0
05:40.00,7-29-2015,22.0,44.7,0,0.0
05:45.00,7-29-2015,22.0,45.0,0,0.0
05:50.00,7-29-2015,22.0,45.0,0,0.0
05:55.00,7-29-2015,21.9,45.0,0,0.0
06:00.00,7-29-2015,22.0,45.0,0,334.0
06:05.00,7-29-2015,22.0,45.3,0,334.0
06:10.00,7-29-2015,22.0,45.7,0,334.0
06:15.00,7-29-2015,22.0,45.9,0,334.0
06:20.00,7-29-2015,22.0,46.0,0,334.0
06:25.00,7-29-2015,22.0,46.3,0,334.0
06:30.00,7-29-2015,22.0,46.1,0,334.0
06:35.00,7-29-2015,22.0,46.1,0,334.0
06:40.00,7-29-2015,22.0,46.4,0,334.0
06:45.00,7-29-2015,22.0,47.0,0,334.0
06:50.00,7-29-2015,22.0,47.8,0,334.0
06:55.00,7-29-2015,22.0,47.3,0,334.0
07:00.00,7-29-2015,22.0,48.9,0,668.0
07:05.00,7-29-2015,22.0,49.1,0,668.0
07:10.00,7-29-2015,22.0,49.5,0,668.0
07:15.00,7-29-2015,22.0,49.7,0,668.0
07:20.00,7-29-2015,22.0,49.7,0,668.0
07:25.00,7-29-2015,22.0,50.1,0,668.0
07:30.00,7-29-2015,22.0,51.0,0,668.0
07:35.00,7-29-2015,22.1,52.0,0,668.0
07:40.00,7-29-2015,22.3,53.0,0,668.0
07:45.00,7-29-2015,22.7,54.1,0,668.0
07:50.00,7-29-2015,23.0,55.1,0,668.0
07:55.00,7-29-2015,23.3,56.1,0,668.0
08:00.00,7-29-2015,23.5,56.1,0,1336.1
08:05.00,7-29-2015,23.7,56.7,0,1336.1
08:10.00,7-29-2015,23.7,56.9,0,1336.1
08:15.00,7-29-2015,23.7,57.0,0,1336.1
08:20.00,7-29-2015,23.7,57.2,0,1336.1
08:25.00,7-29-2015,23.8,57.3,0,1336.1
08:30.00,7-29-2015,23.8,57.3,0,1336.1
08:35.00,7-29-2015,23.8,57.4,0,1333.4
08:40.00,7-29-2015,23.8,57.2,0,1322.7
08:45.00,7-29-2015,23.8,57.3,0,1304.2
08:50.00,7-29-2015,23.8,57.2,0,1279.1
08:55.00,7-29-2015,23.9,57.3,0,1255.1
09:00.00,7-29-2015,24.0,57.1,0,1230.5
09:05.00,7-29-2015,24.3,57.3,0,1219.3
09:10.00,7-29-2015,23.6,57.2,0,1210.9
09:15.00,7-29-2015,25.3,58.9,0,1207.8
09:20.00,7-29-2015,25.9,58.3,0,1205.9
09:25.00,7-29-2015,26.5,58.4,0,1204.8
09:30.00,7-29-2015,26.7,58.9,0,1202.7
09:35.00,7-29-2015,27.3,59.1,0,1201.8
09:40.00,7-29-2015,27.5,59.5,0,1199.5
09:45.00,7-29-2015,27.7,59.6,0,1198.7
09:50.00,7-29-2015,28.3,59.9,0,1197.4
09:55.00,7-29-2015,28.7,60.0,0,1196.8
10:00.00,7-29-2015,29.0,60.0,0,1195.6
10:05.00,7-29-2015,29.2,60.1,0,1181.4
10:10.00,7-29-2015,29.3,60.2,0,1152.0
10:15.00,7-29-2015,29.4,60.3,0,1118.3
10:20.00,7-29-2015,29.6,60.4,0,1062.7
10:25.00,7-29-2015,29.7,60.4,0,1014.3
10:30.00,7-29-2015,29.8,60.2,0,961.7
10:35.00,7-29-2015,29.9,60.5,0,945.1
10:40.00,7-29-2015,30.0,60.7,0,894.6
10:45.00,7-29-2015,30.2,61.8,0,869.1
10:50.00,7-29-2015,30.3,61.1,0,851.2
10:55.00,7-29-2015,30.4,61.2,0,800.0
11:00.00,7-29-2015,30.5,61.2,0,569.3
11:05.00,7-29-2015,30.6,61.2,0,552.3
11:10.00,7-29-2015,30.7,61.2,0,543.6
11:15.00,7-29-2015,30.8,61.2,0,534.5
11:20.00,7-29-2015,30.9,61.2,0,525.1
11:25.00,7-29-2015,30.9,61.2,0,516.3
11:30.00,7-29-2015,31.0,61.2,0,506.2
11:35.00,7-29-2015,31.1,61.2,0,497.6
11:40.00,7-29-2015,31.2,61.3,0,488.8
11:45.00,7-29-2015,31.3,61.3,0,479.2
11:50.00,7-29-2015,31.3,61.9,0,470.2
11:55.00,7-29-2015,31.4,62.0,0,461.9
12:00.00,7-29-2015,31.5,62.0,0,451.2
12:05.00,7-29-2015,31.6,62.0,0,443.9
12:10.00,7-29-2015,31.7,62.0,0,436.3
12:15.00,7-29-2015,31.8,62.0,0,429.1
12:20.00,7-29-2015,31.9,62.7,0,422.9
12:25.00,7-29-2015,32.0,62.8,0,416.8
12:30.00,7-29-2015,32.1,62.9,0,409.3
12:35.00,7-29-2015,32.1,63.0,0,403.7
12:40.00,7-29-2015,32.1,63.2,0,396.0
12:45.00,7-29-2015,32.2,63.8,0,390.0
12:50.00,7-29-2015,32.3,63.0,0,383.4
12:55.00,7-29-2015,32.4,63.4,0,376.5
13:00.00,7-29-2015,32.5,63.5,0,493.4
13:05.00,7-29-2015,32.5,63.6,0,483.4
13:10.00,7-29-2015,32.5,63.7,0,472.7
13:15.00,7-29-2015,32.4,63.7,0,462.4
13:20.00,7-29-2015,32.3,63.8,0,452.3
13:25.00,7-29-2015,32.2,63.9,0,443.9
13:30.00,7-29-2015,32.1,63.7,0,424.8
13:35.00,7-29-2015,32.0,63.9,0,415.5
13:40.00,7-29-2015,31.8,63.1,0,406.0
13:45.00,7-29-2015,31.5,63.2,0,396.7
13:50.00,7-29-2015,31.3,63.1,0,387.5
13:55.00,7-29-2015,31.0,63.5,0,377.9
14:00.00,7-29-2015,30.8,63.5,0,375.6
14:05.00,7-29-2015,30.6,63.5,0,380.3
14:10.00,7-29-2015,30.5,63.1,0,389.6
14:15.00,7-29-2015,30.3,63.9,0,400.6
14:20.00,7-29-2015,30.2,64.0,0,411.8
14:25.00,7-29-2015,30.0,64.1,0,423.1
14:30.00,7-29-2015,29.9,64.2,0,435,6
14:35.00,7-29-2015,29.7,64.2,0,458.8
14:40.00,7-29-2015,29.6,64.2,0,485.1
14:45.00,7-29-2015,29.4,64.2,0,511.5
14:50.00,7-29-2015,29.2,64.4,0,534.2
14:55.00,7-29-2015,29.2,64.9,0,557.4
15:00.00,7-29-2015,28.9,64.9,0,593.1
15:05.00,7-29-2015,28.7,64.9,0,608.4
15:10.00,7-29-2015,28.5,64.9,0,623.3
15:15.00,7-29-2015,28.3,64.9,0,638.5
15:20.00,7-29-2015,28.3,64.9,0,654.1
15:25.00,7-29-2015,28.0,65.0,0,670.8
15:30.00,7-29-2015,27.9,65.0,0,686.1
15:35.00,7-29-2015,27.7,65.9,0,702.1
15:40.00,7-29-2015,27.6,65.0,0,718.0
15:45.00,7-29-2015,27.4,65.9,0,734.1
15:50.00,7-29-2015,27.3,64.9,0,375.0
15:55.00,7-29-2015,27.2,64.1,0,385.6
16:00.00,7-29-2015,27.0,63.4,0,395.4
16:05.00,7-29-2015,27.4,63.4,0,403.1
16:10.00,7-29-2015,27.8,63.5,0,411.6
16:15.00,7-29-2015,27.9,63.6,0,418.9
16:20.00,7-29-2015,28.0,63.6,0,425.4
16:25.00,7-29-2015,27.9,63.6,0,431.4
16:30.00,7-29-2015,27.8,63.6,0,438.4
16:35.00,7-29-2015,27.8,63.6,0,445.5
16:40.00,7-29-2015,27.7,63.6,0,451.7
16:45.00,7-29-2015,27.6,63.6,0,458.2
16:50.00,7-29-2015,27.5,64.5,0,232.9
16:55.00,7-29-2015,27.5,64.5,0,221.6
17:00.00,7-29-2015,27.4,64.5,0,214.7
17:05.00,7-29-2015,27.1,64.5,0,211.3
17:10.00,7-29-2015,26.7,64.5,0,210.4
17:15.00,7-29-2015,26.4,64.5,0,213.1
17:20.00,7-29-2015,26.3,64.5,0,215.2
17:25.00,7-29-2015,26.3,64.5,0,217.5
17:30.00,7-29-2015,26.2,64.5,0,218.8
17:35.00,7-29-2015,26.2,64.5,0,220.0
17:40.00,7-29-2015,26.2,64.5,0,222.9
17:45.00,7-29-2015,26.1,64.5,0,220.0
17:50.00,7-29-2015,26.1,63.0,0,210.4
17:55.00,7-29-2015,26.1,62.1,0,220.7
18:00.00,7-29-2015,26.0,62.5,0,0.0
18:05.00,7-29-2015,26.0,62.3,0,0.0
18:10.00,7-29-2015,25.7,62.9,0,0.0
18:15.00,7-29-2015,25.3,62.7,0,0.0
18:20.00,7-29-2015,25.0,62.8,0,0.0
18:25.00,7-29-2015,24.8,62.4,0,0.0
18:30.00,7-29-2015,24.7,62.7,0,0.0
18:35.00,7-29-2015,24.5,62.5,0,0.0
18:40.00,7-29-2015,24.4,62.4,0,0.0
18:45.00,7-29-2015,24.2,62.3,0,0.0
18:50.00,7-29-2015,24.1,62.8,0,0.0
18:55.00,7-29-2015,24.0,62.0,0,0.0
19:00.00,7-29-2015,23.8,62.8,0,0.0
19:05.00,7-29-2015,23.7,63.0,0,0.0
19:10.00,7-29-2015,23.5,63.0,0,0.0
19:15.00,7-29-2015,23.4,63.0,0,0.0
19:20.00,7-29-2015,23.4,63.0,0,0.0
19:25.00,7-29-2015,23.3,63.0,0,0.0
19:30.00,7-29-2015,23.2,63.0,0,0.0
19:35.00,7-29-2015,23.1,63.1,0,0.0
19:40.00,7-29-2015,23.0,63.4,0,0.0
19:45.00,7-29-2015,23.0,63.4,0,0.0
19:50.00,7-29-2015,22.9,63.5,0,0.0
19:55.00,7-29-2015,22.8,63.8,0,0.0
20:00.00,7-29-2015,22.7,63.8,0,0.0
20:05.00,7-29-2015,22.7,63.8,0,0.0
20:10.00,7-29-2015,22.1,63.0,0,0.0
20:15.00,7-29-2015,21.5,63.8,0,0.0
20:20.00,7-29-2015,21.4,64.1,0,0.0
20:25.00,7-29-2015,21.3,64.2,0,0.0
20:30.00,7-29-2015,21.1,64.3,0,0.0
20:35.00,7-29-2015,20.9,64.4,0,0.0
20:40.00,7-29-2015,20.8,64.5,0,0.0
20:45.00,7-29-2015,20.7,64.6,0,0.0
20:50.00,7-29-2015,20.7,64.8,0,0.0
20:55.00,7-29-2015,20.6,64.8,0,0.0
21:00.00,7-29-2015,20.5,64.8,0,0.0
21:05.00,7-29-2015,20.4,64.8,0,0.0
21:10.00,7-29-2015,20.3,64.8,0,0.0
21:15.00,7-29-2015,20.3,64.8,0,0.0
21:20.00,7-29-2015,20.3,64.8,0,0.0
21:25.00,7-29-2015,20.3,64.8,0,0.0
21:30.00,7-29-2015,20.3,65.1,0,0.0
21:35.00,7-29-2015,20.4,65.8,0,0.0
21:40.00,7-29-2015,20.4,65.7,0,0.0
21:45.00,7-29-2015,20.5,66.1,0,0.0
21:50.00,7-29-2015,20.5,65.1,0,0.0
21:55.00,7-29-2015,20.7,65.2,0,0.0
22:00.00,7-29-2015,20.5,65.3,0,0.0
22:05.00,7-29-2015,20.4,65.3,0,0.0
22:10.00,7-29-2015,20.3,65.4,0,0.0
22:15.00,7-29-2015,20.3,65.1,0,0.0
22:20.00,7-29-2015,20.3,65.4,0,0.0
22:25.00,7-29-2015,20.3,64.9,0,0.0
22:30.00,7-29-2015,20.3,65.1,0,0.0
22:35.00,7-29-2015,20.4,64.9,0,0.0
22:40.00,7-29-2015,20.4,64.8,0,0.0
22:45.00,7-29-2015,20.5,64.7,0,0.0
22:50.00,7-29-2015,20.5,64.6,0,0.0
22:55.00,7-29-2015,20.7,64.4,0,0.0
23:00.00,7-29-2015,20.5,64.2,0,0.0
23:05.00,7-29-2015,20.4,63.9,0,0.0
23:10.00,7-29-2015,20.3,64.1,0,0.0
23:15.00,7-29-2015,20.3,64.5,0,0.0
23:20.00,7-29-2015,20.3,65.0,0,0.0
23:25.00,7-29-2015,20.3,65.5,0,0.0
23:30.00,7-29-2015,20.3,64.9,0,0.0
23:35.00,7-29-2015,20.4,64.1,0,0.0
23:40.00,7-29-2015,20.4,64.4,0,0.0
23:45.00,7-29-2015,20.5,64.4,0,0.0
23:50.00,7-29-2015,20.5,64.3,0,0.0
23:55.00,7-29-2015,20.7,64.5,0,0.0